variant,arm,days,total_cost_eur,peak_import_mw,throughput_mwh,curtailed_mwh,wholesale_cost_eur,mean_solve_s,soc_settlement_eur,terminal_soc_mwh,saving_eur,saving_pct,saving_pct_wholesale,value_captured_pct
reference,no battery,60,95047.52644736,0.967216,0.0,0.0,31632.42635736,0.023043023334321334,-0.0,0.5,0.0,0.0,0.0,0.0
reference,rule-based,60,95039.74002630737,0.967216,0.38,0.0,31617.75835736,0.0,28.921578947368424,0.1,7.78642105263134,0.008192134339175759,0.02461531393344935,1.3675747323323506
reference,forecast,60,94815.2247064538,1.1431826665971025,66.97868269893628,0.0,31051.82686298197,0.02178233833304451,1.3646496213750114e-13,0.4999999999999981,232.3017409062013,0.2444058773426961,0.734378508565313,40.80051528073701
reference,perfect foresight,60,94478.1666260249,1.1498016315789463,93.68637053031419,0.0,30568.07677740053,0.02149053833151508,7.22461564257359e-14,0.499999999999999,569.3598213350924,0.5990264477323562,1.7999245928936398,100.0
prices +50%,no battery,60,110863.73962604,0.967216,0.0,0.0,47448.63953604,0.023011741666171776,-0.0,0.5,0.0,0.0,0.0,0.0
prices +50%,rule-based,60,110850.44841551367,0.967216,0.38,0.0,47426.63753604,0.0,30.75078947368421,0.1,13.291210526323994,0.011988780615877867,0.028011784228773404,1.1676341972825752
prices +50%,forecast,60,110265.52806166379,1.1646801109247682,87.6657276442179,0.0,46386.043776328246,0.02233734333446288,1.109557621220266e-13,0.49999999999999856,598.2115643762081,0.5395917243943469,1.260755988423718,52.55294680587324
prices +50%,perfect foresight,60,109725.43701746134,1.197849,121.00876004594657,0.0,45661.360743294295,0.024971095000607117,4.267529312385639e-14,0.49999999999999944,1138.302608578655,1.0267582641703412,2.3990205403340346,100.0
prices -30%,no battery,60,85557.798540152,0.967216,0.0,0.0,22142.698450152,0.022327373333246213,-0.0,0.5,0.0,0.0,0.0,0.0
prices -30%,rule-based,60,85553.31499278358,0.967216,0.38,0.0,22132.430850152,0.0,27.82405263157895,0.1,4.4835473684215685,0.0052403725258515785,0.020248423553773282,1.6543872309400514
prices -30%,forecast,60,85496.45827785555,1.066182631578947,38.132976063881166,0.0,21891.660449418087,0.023315595000167378,6.178180773992225e-14,0.4999999999999991,61.34026229644951,0.0716945308821413,0.2770225247593002,22.633985624977512
prices -30%,perfect foresight,60,85286.78899144592,1.1422726315789467,69.50844589694894,0.0,21515.03134182967,0.02160351166749024,9.267271160988338e-14,0.49999999999999867,271.0095487060753,0.31675610327782266,1.223922862501047,100.0
PV -50%,no battery,60,98045.501234575,0.967216,0.0,0.0,32613.722844575,0.022077955000228636,-0.0,0.5,0.0,0.0,0.0,0.0
PV -50%,rule-based,60,98037.71481352237,0.967216,0.38,0.0,32599.054844575,0.0,28.921578947368424,0.1,7.78642105263134,0.007941640314533389,0.02387467720179802,1.3739111216237456
PV -50%,forecast,60,97809.44216293337,1.1059776315789476,66.97930535789835,0.0,32029.359865833034,0.021859519999755623,-0.0,0.5,236.05907164163364,0.2407648170178248,0.7238028996769375,41.652536087682414
PV -50%,perfect foresight,60,97478.76726393584,1.149801631578946,92.36621661653258,0.0,31556.30329795549,0.021242831667041173,1.2843761142353047e-13,0.4999999999999982,566.7339706391649,0.5780315909480103,1.7377162777153974,100.0
load +30%,no battery,60,125360.56567339701,1.2573808,0.0,0.0,41710.932156897004,0.02418898166700577,-0.0,0.5,0.0,0.0,0.0,0.0
load +30%,rule-based,60,125352.77925234438,1.2573808,0.38,0.0,41696.264156897,0.0,28.921578947368424,0.1,7.78642105263134,0.006211220419120772,0.018667578617860826,1.3374385807075155
load +30%,forecast,60,125114.18888897971,1.3352893232523972,68.8579971909246,0.0,41113.749560230666,0.021568733333454777,4.816410428382393e-14,0.49999999999999933,246.37678441729804,0.1965345187251194,0.5906767642845858,42.31903394936456
load +30%,perfect foresight,60,124778.37661702088,1.3684263315789456,94.51956251918803,0.0,40639.922818202635,0.021403156666929136,1.2843761142353047e-13,0.4999999999999982,582.1890563761262,0.4644116379411597,1.3957709076992177,100.0
volatility x2,no battery,60,95861.47966350583,0.967216,0.0,0.0,32446.379573505834,0.022930851666751552,-0.0,0.5,0.0,0.0,0.0,0.0
volatility x2,rule-based,60,95852.20902578653,0.967216,0.38,0.0,32430.22735683917,0.0,28.921578947368427,0.1,9.270637719295337,0.009670868582288992,0.02857217921122176,0.47526720218079577
volatility x2,forecast,60,94645.98869993912,1.22267785374278,108.85657248138442,0.0,30647.801679580392,0.021410726667090783,4.8164104283823936e-14,0.49999999999999933,1215.4909635667136,1.2679659940920434,3.7461528205730095,62.31318783259512
volatility x2,perfect foresight,60,93910.86374118752,1.2840606315789476,148.3496668898345,0.0,29692.085691207612,0.021016668333807807,1.123829099955892e-13,0.49999999999999845,1950.6159223183058,2.034827679653373,6.011813792350151,100.0
