variant,arm,days,total_cost_eur,peak_import_mw,throughput_mwh,curtailed_mwh,wholesale_cost_eur,mean_solve_s,soc_settlement_eur,terminal_soc_mwh,saving_eur,saving_pct,saving_pct_wholesale,value_captured_pct
size 0.5 MWh / 0.25 MW,no battery,60,95047.52644736,0.967216,0.0,0.0,31632.42635736,0.021487763333667923,-0.0,0.25,0.0,0.0,0.0,0.0
size 0.5 MWh / 0.25 MW,rule-based,60,95043.63323683369,0.967216,0.19,0.0,31625.09235736,0.0,14.460789473684212,0.05,3.893210526308394,0.004096067169580225,0.012307656966701672,1.2824627224907765
size 0.5 MWh / 0.25 MW,forecast,60,94911.27603758087,0.944915,36.363524681345545,0.0,31318.72219773752,0.022955341667936106,-7.244684019358516e-15,0.2500000000000001,136.2504097791243,0.14334976918582268,0.4307301888254379,44.88225599027836
size 0.5 MWh / 0.25 MW,perfect foresight,60,94743.95345002974,0.9458369999999999,48.483634993245715,0.0,31088.52545685392,0.020413646665838316,2.0068376784926637e-14,0.24999999999999972,303.5729973302514,0.3193907392196878,0.9596892565265335,100.0
size 1.0 MWh / 0.5 MW,no battery,60,95047.52644736,0.967216,0.0,0.0,31632.42635736,0.02240703833231237,-0.0,0.5,0.0,0.0,0.0,0.0
size 1.0 MWh / 0.5 MW,rule-based,60,95039.74002630737,0.967216,0.38,0.0,31617.75835736,0.0,28.921578947368424,0.1,7.78642105263134,0.008192134339175759,0.02461531393344935,1.3675747323323506
size 1.0 MWh / 0.5 MW,forecast,60,94815.2247064538,1.1431826665971025,66.97868269893628,0.0,31051.82686298197,0.021237401664984647,1.3646496213750114e-13,0.4999999999999981,232.3017409062013,0.2444058773426961,0.734378508565313,40.80051528073701
size 1.0 MWh / 0.5 MW,perfect foresight,60,94478.1666260249,1.1498016315789463,93.68637053031419,0.0,30568.07677740053,0.020936359999662577,7.22461564257359e-14,0.499999999999999,569.3598213350924,0.5990264477323562,1.7999245928936398,100.0
size 2.0 MWh / 1.0 MW,no battery,60,95047.52644736,0.967216,0.0,0.0,31632.42635736,0.022780096666004588,-0.0,1.0,0.0,0.0,0.0,0.0
size 2.0 MWh / 1.0 MW,rule-based,60,95032.40739120473,0.967216,0.76,0.0,31603.54414331,0.0,57.84315789473685,0.2,15.119056155264843,0.015906838105501045,0.047796068453493934,1.4223930606987123
size 2.0 MWh / 1.0 MW,forecast,60,94647.53685460678,1.5642352981760463,125.67193229020883,0.0,30538.592936483,0.024887939999219573,4.3347693855441535e-13,0.999999999999994,399.98959275321977,0.4208311438538543,1.264492291025766,37.630816053670344
size 2.0 MWh / 1.0 MW,perfect foresight,60,93984.59549156371,1.570854263157893,181.24789590369423,0.0,29556.584173406685,0.021750151666492457,1.1238290999558917e-13,0.9999999999999984,1062.9309557962843,1.1183152213697696,3.360257426313329,100.0
size 4.0 MWh / 2.0 MW,no battery,60,95047.52644736,0.967216,0.0,0.0,31632.42635736,0.022646138332493137,-0.0,2.0,0.0,0.0,0.0,0.0
size 4.0 MWh / 2.0 MW,rule-based,60,95020.30887868947,0.967216,1.52,0.0,31577.6824729,0.0,115.6863157894737,0.4,27.217568670530454,0.02863574643955023,0.08604325309429724,1.5168249490241694
size 4.0 MWh / 2.0 MW,forecast,60,94433.69443948923,2.0411618147213373,212.48458858409467,0.0,29800.260788295273,0.022696626666584053,9.632820856764786e-13,1.9999999999999867,613.832007870762,0.6458158679286825,1.9405150933922592,34.208628820548725
size 4.0 MWh / 2.0 MW,perfect foresight,60,93253.14874490722,2.0,316.84278170787775,0.0,28030.029170605132,0.022111740001128054,7.064068628294176e-13,1.9999999999999902,1794.3777024527808,1.8878741715036191,5.672589519947711,100.0
power 0.25 MW at 1.0 MWh,no battery,60,95047.52644736,0.967216,0.0,0.0,31632.42635736,0.022589120000823946,-0.0,0.5,0.0,0.0,0.0,0.0
power 0.25 MW at 1.0 MWh,rule-based,60,95040.00652630736,0.967216,0.38,0.0,31618.02485736,0.0,28.921578947368424,0.1,7.5199210526334355,0.00791174829446843,0.023772824024559075,1.5185692929445855
power 0.25 MW at 1.0 MWh,forecast,60,94837.04358552695,0.9692941670935653,59.522910397400274,0.0,31124.371672483252,0.0234030649990018,1.0435555928161852e-13,0.49999999999999856,210.48286183305026,0.2214501204822217,0.6654022029646697,42.5048093502038
power 0.25 MW at 1.0 MWh,perfect foresight,60,94552.3286919746,0.978749,82.81691746976576,0.0,30717.487650874984,0.020620688333535024,4.013675356985327e-15,0.49999999999999994,495.197755385394,0.5210001500245758,1.565475091259242,100.0
power 1.0 MW at 1.0 MWh,no battery,60,95047.52644736,0.967216,0.0,0.0,31632.42635736,0.022356011666609752,-0.0,0.5,0.0,0.0,0.0,0.0
power 1.0 MW at 1.0 MWh,rule-based,60,95039.74002630737,0.967216,0.38,0.0,31617.75835736,0.0,28.921578947368424,0.1,7.78642105263134,0.008192134339175759,0.02461531393344935,1.29967422471716
power 1.0 MW at 1.0 MWh,forecast,60,94808.89402683573,1.1431826665971023,69.93965542621243,0.0,31025.94574534075,0.02422624833319181,1.5251966356544245e-13,0.4999999999999979,238.63242052427086,0.25106641850004613,0.7543917682076501,39.83144554357884
power 1.0 MW at 1.0 MWh,perfect foresight,60,94448.4208480837,1.3848952631578948,96.49445536670628,0.0,30520.141505265456,0.02281483000018246,1.0435555928161852e-13,0.49999999999999856,599.1055992762995,0.6303221363767957,1.8939603067688926,100.0
round-trip 0.72,no battery,60,95047.52644736,0.967216,0.0,0.0,31632.42635736,0.02231155333283823,-0.0,0.5,0.0,0.0,0.0,0.0
round-trip 0.72,rule-based,60,95047.00656500706,0.967216,0.34,0.0,31619.30235736,0.0,32.32411764705883,0.1,0.5198823529353831,0.0005469709442920733,0.0016435108298748025,0.49735207315332436
round-trip 0.72,forecast,60,95046.05963740996,0.967216,0.7231664451675791,0.0,31622.989889378838,0.02298754666747603,-0.0,0.5,1.4668099500413518,0.0015432384248881138,0.004637045332755719,1.4032424171659923
round-trip 0.72,perfect foresight,60,94942.99640094052,1.1622902352941178,21.116585672703323,0.0,31274.529042770086,0.02153172833326001,-0.0,0.5,104.53004641947336,0.10997660888878055,0.33045219243876334,100.0
round-trip 0.81,no battery,60,95047.52644736,0.967216,0.0,0.0,31632.42635736,0.02282114333308224,-0.0,0.5,0.0,0.0,0.0,0.0
round-trip 0.81,rule-based,60,95043.27878069333,0.967216,0.36000000000000004,0.0,31618.53035736,0.0,30.528333333333336,0.1,4.247666666662553,0.004468992329868817,0.013428203763680738,1.7097660713631158
round-trip 0.81,forecast,60,95014.66880124774,1.0895744444444446,13.934836909489157,0.0,31486.448971206373,0.021901063332916238,-4.1180309162669463e-14,0.5000000000000007,32.8576461122575,0.03456970143295101,0.1038733031132543,13.225823238087216
round-trip 0.81,perfect foresight,60,94799.09090183089,1.1361464444444442,47.77889124781569,0.0,30980.02192651367,0.021236206665829135,1.6946629285049162e-14,0.4999999999999998,248.4355455291079,0.2613803376216198,0.785382514519958,100.0
round-trip 0.90,no battery,60,95047.52644736,0.967216,0.0,0.0,31632.42635736,0.02211491666676011,-0.0,0.5,0.0,0.0,0.0,0.0
round-trip 0.90,rule-based,60,95039.74002630737,0.967216,0.38,0.0,31617.75835736,0.0,28.921578947368424,0.1,7.78642105263134,0.008192134339175759,0.02461531393344935,1.3675747323323506
round-trip 0.90,forecast,60,94815.2247064538,1.1431826665971025,66.97868269893628,0.0,31051.82686298197,0.023962418333879517,1.3646496213750114e-13,0.4999999999999981,232.3017409062013,0.2444058773426961,0.734378508565313,40.80051528073701
round-trip 0.90,perfect foresight,60,94478.1666260249,1.1498016315789463,93.68637053031419,0.0,30568.07677740053,0.022391615000621336,7.22461564257359e-14,0.499999999999999,569.3598213350924,0.5990264477323562,1.7999245928936398,100.0
round-trip 1.00,no battery,60,95047.52644736,0.967216,0.0,0.0,31632.42635736,0.02260518000063409,-0.0,0.5,0.0,0.0,0.0,0.0
round-trip 1.00,rule-based,60,95036.36194736,0.967216,0.4,0.0,31616.98635736,0.0,27.4755,0.1,11.164499999998952,0.011746228878646481,0.035294478753765526,0.9617453815621732
round-trip 1.00,forecast,60,94268.79395726549,1.1911896508218471,141.56485110209024,0.0,30543.377711468565,0.021353608332962418,1.5251966356544244e-14,0.4999999999999998,778.7324900945096,0.819308528271689,2.461817128085465,67.08248249548798
round-trip 1.00,perfect foresight,60,93886.66826035583,1.22122,174.30338266666666,0.0,30088.244574605833,0.02150956999976188,1.5251966356544244e-14,0.4999999999999998,1160.8581870041671,1.2213449738190538,3.6698360533259162,100.0
degradation 0 EUR/MWh,no battery,60,95047.52644736,0.967216,0.0,0.0,31632.42635736,0.023023438333135953,-0.0,0.5,0.0,0.0,0.0,0.0
degradation 0 EUR/MWh,rule-based,60,95038.98002630737,0.967216,0.38,0.0,31617.75835736,0.0,28.921578947368424,0.1,8.546421052626101,0.008991734316578296,0.027017911797453952,1.0875007714234033
degradation 0 EUR/MWh,forecast,60,94615.42359412521,1.1646801109247693,89.93270526890292,0.0,30909.92161149283,0.02193867833217761,5.6191454997794586e-14,0.4999999999999992,432.10285323478456,0.4546176732690622,1.366012358183349,54.98350518111784
degradation 0 EUR/MWh,perfect foresight,60,94261.6492068832,1.1657396315789463,124.46894484975482,0.0,30435.63757695098,0.021511898333361992,9.632820856764786e-14,0.49999999999999867,785.8772404767951,0.8268255575404544,2.4844039202005224,100.0
degradation 2 EUR/MWh,no battery,60,95047.52644736,0.967216,0.0,0.0,31632.42635736,0.022111444999366844,-0.0,0.5,0.0,0.0,0.0,0.0
